[32m [INFO] [06/24/2025 14:12] | USER: undefined | IP: ::ffff:127.0.0.1 | ROUTE: undefined | FILE: /Users/niek/Documents/code/github/final-cms/server/edit/ftpServices.ts | FUNCTION: Structure | MESSAGE: undefined [0m 
[32m [INFO] [06/24/2025 14:13] | USER: undefined | IP: ::ffff:127.0.0.1 | ROUTE: undefined | FILE: /Users/niek/Documents/code/github/final-cms/server/edit/ftpServices.ts | FUNCTION: Structure | MESSAGE: undefined [0m 
[32m [INFO] [06/24/2025 14:17] | USER: undefined | IP: ::ffff:127.0.0.1 | ROUTE: undefined | FILE: /Users/niek/Documents/code/github/final-cms/server/edit/ftpServices.ts | FUNCTION: Structure | MESSAGE: undefined [0m 
[32m [INFO] [06/24/2025 14:17] | USER: undefined | IP: ::ffff:127.0.0.1 | ROUTE: undefined | FILE: /Users/niek/Documents/code/github/final-cms/server/edit/ftpServices.ts | FUNCTION: Structure | MESSAGE: undefined [0m 
[32m [INFO] [06/24/2025 14:32] | USER: undefined | IP: ::ffff:127.0.0.1 | ROUTE: undefined | FILE: /Users/niek/Documents/code/github/final-cms/server/edit/ftpServices.ts | FUNCTION: Structure | MESSAGE: undefined [0m 
[32m [INFO] [06/24/2025 14:35] | USER: undefined | IP: ::ffff:127.0.0.1 | ROUTE: undefined | FILE: /Users/niek/Documents/code/github/final-cms/server/edit/ftpServices.ts | FUNCTION: Structure | MESSAGE: undefined [0m 
[32m [INFO] [06/24/2025 14:36] | USER: undefined | IP: ::ffff:127.0.0.1 | ROUTE: undefined | FILE: /Users/niek/Documents/code/github/final-cms/server/edit/ftpServices.ts | FUNCTION: Structure | MESSAGE: undefined [0m 
[32m [INFO] [06/24/2025 14:36] | USER: undefined | IP: ::ffff:127.0.0.1 | ROUTE: undefined | FILE: /Users/niek/Documents/code/github/final-cms/server/edit/ftpServices.ts | FUNCTION: Structure | MESSAGE: undefined [0m 
[32m [INFO] [06/24/2025 14:38] | USER: undefined | IP: ::ffff:127.0.0.1 | ROUTE: undefined | FILE: /Users/niek/Documents/code/github/final-cms/server/edit/ftpServices.ts | FUNCTION: Structure | MESSAGE: undefined [0m 
[32m [INFO] [06/24/2025 14:40] | USER: undefined | IP: ::ffff:127.0.0.1 | ROUTE: undefined | FILE: /Users/niek/Documents/code/github/final-cms/server/edit/ftpServices.ts | FUNCTION: Structure | MESSAGE: undefined [0m 
[32m [INFO] [06/24/2025 14:40] | USER: undefined | IP: ::ffff:127.0.0.1 | ROUTE: undefined | FILE: /Users/niek/Documents/code/github/final-cms/server/edit/ftpServices.ts | FUNCTION: Structure | MESSAGE: undefined [0m 
[32m [INFO] [06/24/2025 14:41] | USER: undefined | IP: ::ffff:127.0.0.1 | ROUTE: undefined | FILE: /Users/niek/Documents/code/github/final-cms/server/edit/ftpServices.ts | FUNCTION: Structure | MESSAGE: undefined [0m 
