[32m [INFO] [06/26/2025 12:03] | USER: undefined | IP: ::ffff:127.0.0.1 | ROUTE: /Structure | FILE: /Users/niek/Documents/code/github/final-cms/server/edit/ftpServices.ts | FUNCTION: Structure | MESSAGE: Remote folder structure retrieved [0m 
[32m [INFO] [06/26/2025 13:26] | USER: undefined | IP: ::ffff:127.0.0.1 | ROUTE: /Structure | FILE: /Users/niek/Documents/code/github/final-cms/server/edit/ftpServices.ts | FUNCTION: Structure | MESSAGE: Remote folder structure retrieved [0m 
[32m [INFO] [06/26/2025 13:26] | USER: undefined | IP: ::ffff:127.0.0.1 | ROUTE: /Structure | FILE: /Users/niek/Documents/code/github/final-cms/server/edit/ftpServices.ts | FUNCTION: Structure | MESSAGE: Remote folder structure retrieved [0m 
[32m [INFO] [06/26/2025 13:26] | USER: undefined | IP: ::ffff:127.0.0.1 | ROUTE: /Structure | FILE: /Users/niek/Documents/code/github/final-cms/server/edit/ftpServices.ts | FUNCTION: Structure | MESSAGE: Remote folder structure retrieved [0m 
[32m [INFO] [06/26/2025 13:26] | USER: undefined | IP: ::ffff:127.0.0.1 | ROUTE: /Structure | FILE: /Users/niek/Documents/code/github/final-cms/server/edit/ftpServices.ts | FUNCTION: Structure | MESSAGE: Remote folder structure retrieved [0m 
[32m [INFO] [06/26/2025 13:26] | USER: undefined | IP: ::ffff:127.0.0.1 | ROUTE: /Structure | FILE: /Users/niek/Documents/code/github/final-cms/server/edit/ftpServices.ts | FUNCTION: Structure | MESSAGE: Remote folder structure retrieved [0m 
[32m [INFO] [06/26/2025 13:30] | USER: undefined | IP: ::ffff:127.0.0.1 | ROUTE: /Structure | FILE: /Users/niek/Documents/code/github/final-cms/server/edit/ftpServices.ts | FUNCTION: Structure | MESSAGE: Remote folder structure retrieved [0m 
[32m [INFO] [06/26/2025 14:46] | USER: undefined | IP: ::ffff:127.0.0.1 | ROUTE: /Structure | FILE: /Users/niek/Documents/code/github/final-cms/server/edit/ftpServices.ts | FUNCTION: Structure | MESSAGE: Remote folder structure retrieved [0m 
[32m [INFO] [06/26/2025 14:47] | USER: undefined | IP: ::ffff:127.0.0.1 | ROUTE: /Structure | FILE: /Users/niek/Documents/code/github/final-cms/server/edit/ftpServices.ts | FUNCTION: Structure | MESSAGE: Remote folder structure retrieved [0m 
[32m [INFO] [06/26/2025 14:47] | USER: undefined | IP: ::ffff:127.0.0.1 | ROUTE: /Structure | FILE: /Users/niek/Documents/code/github/final-cms/server/edit/ftpServices.ts | FUNCTION: Structure | MESSAGE: Remote folder structure retrieved [0m 
[32m [INFO] [06/26/2025 14:48] | USER: undefined | IP: ::ffff:127.0.0.1 | ROUTE: /Structure | FILE: /Users/niek/Documents/code/github/final-cms/server/edit/ftpServices.ts | FUNCTION: Structure | MESSAGE: Remote folder structure retrieved [0m 
[32m [INFO] [06/26/2025 14:48] | USER: undefined | IP: ::ffff:127.0.0.1 | ROUTE: /Structure | FILE: /Users/niek/Documents/code/github/final-cms/server/edit/ftpServices.ts | FUNCTION: Structure | MESSAGE: Remote folder structure retrieved [0m 
[32m [INFO] [06/26/2025 14:49] | USER: undefined | IP: ::ffff:127.0.0.1 | ROUTE: /Structure | FILE: /Users/niek/Documents/code/github/final-cms/server/edit/ftpServices.ts | FUNCTION: Structure | MESSAGE: Remote folder structure retrieved [0m 
[32m [INFO] [06/26/2025 15:33] | USER: undefined | IP: ::ffff:127.0.0.1 | ROUTE: /Structure | FILE: /Users/niek/Documents/code/github/final-cms/server/edit/ftpServices.ts | FUNCTION: Structure | MESSAGE: Remote folder structure retrieved [0m 
[32m [INFO] [06/26/2025 15:44] | USER: undefined | IP: ::ffff:127.0.0.1 | ROUTE: undefined | FILE: /Users/niek/Documents/code/github/final-cms/server/edit/ftpServices.ts | FUNCTION: Structure | MESSAGE: Cannot read properties of undefined (reading 'push') [0m 
[32m [INFO] [06/26/2025 15:45] | USER: undefined | IP: ::ffff:127.0.0.1 | ROUTE: undefined | FILE: /Users/niek/Documents/code/github/final-cms/server/edit/ftpServices.ts | FUNCTION: Structure | MESSAGE: Cannot read properties of undefined (reading 'push') [0m 
[32m [INFO] [06/26/2025 15:45] | USER: undefined | IP: ::ffff:127.0.0.1 | ROUTE: undefined | FILE: /Users/niek/Documents/code/github/final-cms/server/edit/ftpServices.ts | FUNCTION: Structure | MESSAGE: Cannot read properties of undefined (reading 'push') [0m 
[32m [INFO] [06/26/2025 15:46] | USER: undefined | IP: ::ffff:127.0.0.1 | ROUTE: /Structure | FILE: /Users/niek/Documents/code/github/final-cms/server/edit/ftpServices.ts | FUNCTION: Structure | MESSAGE: Remote folder structure retrieved [0m 
[32m [INFO] [06/26/2025 15:47] | USER: undefined | IP: ::ffff:127.0.0.1 | ROUTE: /Structure | FILE: /Users/niek/Documents/code/github/final-cms/server/edit/ftpServices.ts | FUNCTION: Structure | MESSAGE: Remote folder structure retrieved [0m 
[32m [INFO] [06/26/2025 15:48] | USER: undefined | IP: ::ffff:127.0.0.1 | ROUTE: /Structure | FILE: /Users/niek/Documents/code/github/final-cms/server/edit/ftpServices.ts | FUNCTION: Structure | MESSAGE: Remote folder structure retrieved [0m 
[32m [INFO] [06/26/2025 16:04] | USER: undefined | IP: ::ffff:127.0.0.1 | ROUTE: /Structure | FILE: /Users/niek/Documents/code/github/final-cms/server/edit/ftpServices.ts | FUNCTION: Structure | MESSAGE: Remote folder structure retrieved [0m 
